s_no	route_number	from_en	from_kn	to_en	to_kn	routings_en	routings_kn	metros	schedule_count	timings_from	timings_to
32	MF26	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Rajagopalanagara Police Station, Chowdeshwarinagara, Kanteerava Studio	ರಾಜಗೋಪಾಲನಗರ ಪೊಲೀಸ್ ಠಾಣೆ, ಚೌಡೇಶ್ವರಿನಗರ, ಕಂಠೀರವ ಸ್ಟುಡಿಯೋ	43, 44, 19	3	0610, 0700, 0750, 0825, 0850, 0925, 0955, 1015, 1050, 1105, 1125, 1140, 1155, 1215, 1245, 1335, 1520, 1530, 1555, 1620, 1640, 1645, 1710, 1810, 2015, 2100, 2130, 2215, 2220	
33	MF27	Jalahalli Metro Staion	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Makali	ಮಾಕಳಿ	Bagalagunte, Acharya College, Aluru	ಬಾಗಲಗುಂಟೆ, ಆಚಾರ್ಯ ಕಾಲೇಜು, ಆಲೂರು	19, 9	3	0805, 0825, 0845, 0945, 1005, 1025, 1150, 1210, 1230, 1330, 1410, 1510, 1530, 1550, 1650, 1710, 1730, 1910, 1930, 1950	0715, 0735, 0755, 0855, 0915, 0935, 1100, 1120, 1140, 1240, 1300, 1320, 1420, 1440, 1500, 1600, 1620, 1640, 1820, 1840, 1900
34	MF28	Vidyaranyapura	ವಿದ್ಯಾರಣ್ಯಪುರ	Laggere	ಲಗ್ಗೆರೆ	Ramachandrapura, BEL Circle, HMT Auditorium, Jalahalli Cross	ರಾಮಚಂದ್ರಾಪುರ, ಬಿ.ಇ.ಎಲ್. ಸರ್ಕಲ್, ಎಚ್.ಎಂ.ಟಿ. ಆಡಿಟೋರಿಯಂ, ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್	43, 44, 19	3	0645, 0740, 0910, 1005, 1110, 1205, 1425, 1600, 1650, 1800, 1850, 2010	0640, 0800, 0840, 1010, 1105, 1210, 1500, 1550, 1700, 1750, 1910, 1945
35	MF29	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Madanayakanahalli	ಮಾದನಾಯಕನಹಳ್ಳಿ	Siddedahalli, Kuduregere Colony	ಸಿಡೇದಹಳ್ಳಿ, ಕುದುರೆಗೆರೆ ಕಾಲೋನಿ		3	0615, 0645, 0715, 0750, 0820, 0850, 0920, 0950, 1020, 1145, 1215, 1245, 1340, 1410, 1440, 1620, 1650, 1710, 1750, 1820, 1850, 1920, 1950, 2020	0705, 0735, 0805, 0835, 0905, 0935, 1005, 1035, 1105, 1230, 1300, 1330, 1425, 1455, 1525, 1705, 1735, 1805, 1835, 1905, 1935, 2005, 2035, 2105
36	MF30	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Kanteerva Studio, Sumanahalli, Sunkadakatte, Herohalli Cross, Andrahalli	ಕಂಠೀರವ ಸ್ಟುಡಿಯೋ, ಸುಮನಹಳ್ಳಿ, ಸುಂಕದಕಟ್ಟೆ, ಹೇರೋಹಳ್ಳಿ ಕ್ರಾಸ್, ಅಂದ್ರಹಳ್ಳಿ		2	0530, 0600, 0645, 0715, 0810, 0840, 0935, 1005, 1125, 1155, 1450, 1520, 1615, 1645, 1805, 1835, 1930, 200, 2055, 2125	
37	MF31	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Jalahalli Metro Station	ಜಾಲಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Andrahalli, Herohalli Cross, Sunkadakatte, Sumanahalli, Kanteerava Studio	ಅಂದ್ರಹಳ್ಳಿ, ಹೇರೋಹಳ್ಳಿ ಕ್ರಾಸ್, ಸುಂಕದಕಟ್ಟೆ, ಸುಮನಹಳ್ಳಿ, ಕಂಠೀರವ ಸ್ಟುಡಿಯೋ		2	0630, 0600, 0645, 0715, 0810, 0840, 0935, 1005, 1125, 1155, 1450, 1520, 1615, 1645, 1805, 1835, 1930, 2000, 2055, 2125	
38	MF34	Kengeri TTMC	ಕೆಂಗೇರಿ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Thalaghattpura	ತಲಘಟ್ಟಪುರ	Vajarahalli Metro, Chikkegowdanapalya, Kodipalya	ವಾಜರಹಳ್ಳಿ ಮೆಟ್ರೋ, ಚಿಕ್ಕೇಗೌಡನಪಾಳ್ಯ, ಕೋಡಿಪಾಳ್ಯ	27, 58	3	0640, 0720, 0805, 0845, 0905, 0925, 1005, 1025, 1110, 1150, 1220, 1225, 1440, 1505, 1545, 1600, 1625, 1735, 1745, 1815, 1905, 1945, 2035	0720, 0800, 0825, 0845, 0925, 0945, 1005, 1110, 1140, 1150, 1230, 1505, 1520, 1545, 1650, 1705, 1730, 1820, 1900, 1950, 2030, 2200
39	MF36	Silk Institute Metro Station	ಸಿಲ್ಕ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Kumbalagodu	ಕುಂಬಳಗೋಡು	Tataguni, Agara, Devagere	ತಾತಗುಣಿ, ಆಗರ, ದೇವಗೆರೆ	52	1	0710, 0830, 0950, 1135, 1450, 1635, 1755, 1940, 2100	0630, 0750, 0910, 1055, 1530, 1715, 1835, 2020
40	MF39	Jnanabharathi Metro Station	ಜ್ಞಾನಭಾರತಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Ramasandra	ರಾಮಸಂದ್ರ	BUC Admin Office, Sonnenahalli, Chikkabasthi	ಬಿ. ಯು. ಸಿ. ಆಡಳಿತ ಕಚೇರಿ, ಸೊನ್ನೇನಹಳ್ಳಿ, ಚಿಕ್ಕಬಸ್ತಿ	22	2	0730, 0830, 0930, 1005, 1100, 1140, 1205, 1245, 1300, 1400, 1505, 1535, 1645, 1715, 1825, 1935, 2015, 2045	0700, 0710, 0800, 0900, 1000, 1105, 1135, 1215, 1230, 1330, 1430, 1445, 1610, 1615, 1720, 1750, 1900,  2010
41	MF40	Jnanabharathi Metro Station	ಜ್ಞಾನಭಾರತಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Ullalu Satellite Town	ಉಲ್ಲಾಳು ಉಪ ನಗರ	Bengaluru University, Vidyanikethana Public School	ಬೆಂಗಳೂರು ವಿಶ್ವವಿದ್ಯಾಲಯ, ವಿದ್ಯಾನಿಕೇತನ ಪಬ್ಲಿಕ್ ಸ್ಕೂಲ್	22	3	0700, 0715, 0715, 0735, 0755, 0805, 0810, 0825, 0845, 0855, 0900, 0910, 0935, 0945, 0950, 1000, 1025, 1100, 1105, 1120, 1140, 1150, 1155, 1210, 1240, 1300, 1310, 1340, 1400, 1415, 1430, 1450, 1505, 1520, 1540, 1610, 1610, 1620, 1630, 1700, 1710, 1720, 1725, 1800, 1810, 1815, 1820, 1855, 1905, 1910, 1930, 1955, 2010, 2020, 2035, 2045, 2105, 2225	0630, 0650, 0650, 0710, 0730, 0740, 0745, 0800, 0820, 0830, 0835, 0845, 0910, 0920, 0925, 0935, 1000, 1030, 1035, 1040, 1115, 1125, 1130, 1145, 1215, 1235, 1245, 1305, 1330,1335, 1405,1425, 1440, 1455, 1515, 1530, 1545, 1545, 1605, 1635, 1645, 1655, 1700, 1725, 1735, 1745, 1750, 1830, 1840, 1845, 1900, 1925, 1935, 1955, 2000, 2035, 2155
42	MF42	Kengeri TTMC	ಕೆಂಗೇರಿ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Tavarekere	ತಾವರೆಕೆರೆ	Kengeri Bus Terminal Metro, Kommaghatta, Sulikere, Yalachaguppe	ಕೆಂಗೇರಿ ಬಸ್ ಟರ್ಮಿನಲ್ ಮೆಟ್ರೋ, ಕೊಮ್ಮಘಟ್ಟ, ಸೂಲಿಕೆರೆ, ಯಲಚಗುಪ್ಪೆ	52	5	0615, 0705, 0755, 0820, 0845, 0900, 0935, 0950, 1000, 1045, 1050, 1140, 1155, 1205, 1230, 1325, 1335, 1350, 1445, 1510, 1525, 1535, 1630, 1705, 1715, 1805, 1830, 1855, 1945, 2100	0615, 0705, 0755, 0845, 0855, 0910, 0935, 0950, 1050, 1105, 1115, 1145, 1230, 1245, 1250, 1355, 1420, 1420, 1435, 1540, 1600, 1615, 1710, 1730, 1805, 1820, 1855, 1920,1945, 2005, 2040, 2125
43	MF45	Banashankari TTMC	ಬನಶಂಕರಿ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Vijayanagara TTMC	ವಿಜಯನಗರ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Kathariguppe, Nayandahalli Metro, Nagarabhavi Circle, Mudalapalaya, Vijayanagara Metro	ಕತ್ತರಿಗುಪ್ಪೆ, ನಾಯಂಡಹಳ್ಳಿ ಮೆಟ್ರೋ, ನಾಗರಭಾವಿ ಸರ್ಕಲ್, ಮೂಡಲಪಾಳ್ಯ, ವಿಜಯನಗರ ಮೆಟ್ರೋ	62, 36, 4	3	0615, 0745, 0900, 1050, 1110, 1225, 1340, 1445, 1535, 1635,1745	0500, 0925, 1005, 1020, 1120, 1150, 1220, 1435, 1540, 1640, 1730,1850, 2040
