s_no	route_number	from_en	from_kn	to_en	to_kn	routings_en	routings_kn	metros	schedule_count	timings_from	timings_to
11	MF5	Madiwala	ಮಡಿವಾಳ	Sir. M.Vishweshwaraih Railway Station	ಸರ್. ಎಂ.ವಿಶ್ವೇಶ್ವರಯ್ಯ ರೈಲ್ವೆ ನಿಲ್ದಾಣ	SV Road Metro Station. Indiranagara Metro Station, Inner Ring Road, Koramangala Water Tank	ಎಸ್‌.ವಿ. ರೋಡ್ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ, ಇಂದಿರಾನಗರ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ, ಇನ್ನರ್ ರಿಂಗ್ ರೋಡ್, ಕೋರಮಂಗಲ ವಾಟರ್ ಟ್ಯಾಂಕ್	54, 18	17	0505, 0550, 0600, 0610, 0620, 0630, 0640, 0650, 0655, 0700, 0720, 1730, 0740, 0750, 0750, 0800, 0810, 0815, 0835, 0840, 0845, 0850, 0855, 0905, 0910, 0915, 0920, 0930, 0940, 0945, 0950, 1000, 1010, 1020, 1025, 1025, 1040, 1055, 1100, 1110, 1125, 1140, 1145, 1145, 1210, 1220, 1235, 1245, 1250, 1255, 1325, 1345, 1350, 1400, 1410, 1420, 1455, 1510, 1520, 1525, 1525, 1535, 1545, 1550, 1555, 1600, 1605, 1610, 1615, 1620, 1625, 1635, 1645, 1650, 1655, 1700, 1710, 1720, 1725, 1740, 1750, 1755, 1800, 1815, 1820, 1830, 1845, 1855, 1900, 1905, 1915, 1950, 2000, 2010, 2020, 2035, 2115, 2150, 2205, 2230	0430, 0530, 0545, 0600, 0610, 0620, 0640, 0650, 0700, 0710, 0725, 0730, 0735, 0740, 0745, 0750, 0800, 0810, 0835, 0845, 0855, 0855, 0905, 0915, 0920, 0940, 0950, 0955, 1000, 1000, 1010, 1020, 1020, 1030, 1045, 1055, 1100, 1110, 1120, 1130, 1130, 1140, 1150, 1155, 1200, 1205, 1230, 1250, 1255, 1310, 1325, 1340, 1340, 1345, 1400, 1420, 1450, 1455, 1520, 1525, 1530, 1535, 1545, 1555, 1605, 1615, 1620, 1620, 1635, 1645, 1650, 1655, 1700, 1710, 1715, 1720, 1725, 1730, 1740,1750, 1755, 1800, 1805, 1810, 1825, 1835, 1845, 1855, 1900, 1905, 1920, 1925, 1935, 1950, 2015, 2030, 2035, 2045, 2105, 2130, 2155, 2225
12	VMF6	Central silk board	ಸೆಂಟ್ರಲ್ ಸಿಲ್ಕ್ ಬೋರ್ಡ್	SV Metro station	ಎಸ್‌.ವಿ. ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Indiranagara metro, Dommalur bridge, Koramangala water tank	ಇಂದಿರಾನಗರ ಮೆಟ್ರೋ, ದೊಮ್ಮಲೂರು ಬ್ರಿಡ್ಜು, ಕೋರಮಂಗಲ ವಾಟರ್ ಟ್ಯಾಂಕ್	54, 16	5	0530, 0600, 0630, 0700, 0800, 0830, 0900, 0930, 1025, 1055, 1125, 1410, 1450, 1555, 1615, 1630, 1645, 1715, 1735, 1805, 1835, 1905, 1935, 2005, 2045, 2115, 2145	0615, 0645, 0715, 0745, 0815, 0845, 0940, 1010, 1040, 1100, 1130, 1200, 1510, 1550, 1640, 1700, 1715, 1730, 1750, 1820, 1850, 1925, 1950, 2020, 2050, 2125, 2200, 2230
13	MF7	Baiyappanahalli Metro Station	ಬೈಯಪ್ಪನಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Kanakagiri	ಕನಕಗಿರಿ	B.Channasandra Bridge, Horamavu, Kalkere	ಬಿ.ಚನ್ನಸಂದ್ರ ಬ್ರಿಡ್ಜು, ಹೊರಮಾವು, ಕಲ್ಕೆರೆ	2	1	0835, 1010, 1120, 1220, 1330, 1440, 1615, 1725	0800, 0910, 1045, 1255, 1405, 1540, 1650
14	MF8	Cubbon Park Metro	ಕಬ್ಬನ್ ಪಾರ್ಕ್ ಮೆಟ್ರೋ	Cubbon Park Metro	ಕಬ್ಬನ್ ಪಾರ್ಕ್ ಮೆಟ್ರೋ	Vasanthanagara, Raj Bhavan	ವಸಂತನಗರ, ರಾಜಭವನ	8	2	0730, 0745, 0800, 0815, 0835, 0850, 0910, 0925, 1130, 1145, 1205, 1220, 1445, 1500, 1520, 1535, 1555, 1610, 1630, 1645, 1730, 1745, 1810	
15	MF9	Hoodi Metro	ಹೂಡಿ ಮೆಟ್ರೋ	KR Puram	ಕೆ.ಆರ್. ಪುರಂ	Ayyappa Nagara, Devasandra	ಅಯ್ಯಪ್ಪ ನಗರ, ದೇವಸಂದ್ರ	15	2	0845, 0925, 1040, 1120, 1150, 1230, 1300, 1340, 1435, 1515, 1545, 1625, 1715, 1755	0800, 0840, 0930, 1010, 1115, 1155, 1225, 1305, 1335, 1415, 1510, 1550, 1630, 1710.
16	MF12	Vijayanagara	ವಿಜಯನಗರ	Banashankari TTMC	ಬನಶಂಕರಿ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Attiguppe Metro, Mysore Road Metro, Kathriguppe	ಅತ್ತಿಗುಪ್ಪೆ ಮೆಟ್ರೋ, ಮೈಸೂರು ರಸ್ತೆ ಮೆಟ್ರೋ, ಕತ್ರಿಗುಪ್ಪೆ	62, 1, 10, 36, 4	11	0520, 0520, 0605, 0615, 0620, 0620, 0635, 0640, 0655, 0710, 0725, 0740, 0750, 0800, 0805, 0820, 0830, 0840, 0845, 0905, 0925, 0935, 0945, 0950, 0955, 1010, 1035, 1055, 1105, 1120, 1140, 1150, 1200, 1205, 1210, 1215, 1225, 1230, 1240, 1250, 1325, 1340, 1355, 1405, 1415, 1420, 1430, 1435, 1445, 1500, 1515, 1520, 1530, 1555, 1605, 1625, 1635, 1640, 1650, 1700, 1725, 1730, 1750, 1755, 1815, 1825, 1845, 1905, 1940, 1950, 2005, 2020, 2040, 2100	0510, 0535, 0605, 0635, 0650, 0700, 0705, 0710, 0720, 0730, 0745, 0810, 0825, 0840, 0850, 0855, 0900, 0915, 0930, 0940, 1000, 1020, 1035, 1050, 1105, 1110, 1115, 1130, 1135, 1145, 1155, 1210, 1240, 1300, 1305, 1315, 1325, 1335, 1345, 1355, 1420, 1430, 1445, 1455, 1505, 1515, 1525, 1535, 1545, 1555, 1605, 1615, 1640, 1650, 1700, 1720, 1725, 1735, 1750, 1815, 1845, 1855, 1915, 1930, 1945, 2000, 2035, 2045, 2055, 2115
18	MF14	Rajarajeshwari Metro Station	ರಾಜರಾಜೇಶ್ವರಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Srinivasapura Cross	ಶ್ರೀನಿವಾಸಪುರ ಕ್ರಾಸ್	Halagevaderahalli, Srinivasapura Cross, Channasandra, BEML Layout 5th Phase	ಹಲಗೇವಡೇರಹಳ್ಳಿ, ಶ್ರೀನಿವಾಸಪುರ ಕ್ರಾಸ್, ಚನ್ನಸಂದ್ರ, ಬಿಇಎಂಎಲ್ ಲೇಔಟ್ 5ನೇ ಹಂತ (ಫೇಸ್)	46	3	0620, 0645, 0650, 0705, 0725, 0750, 0800, 0815, 0835, 0855, 0900, 0910, 0925, 0945, 1005, 1025, 1045, 1100, 1120, 1130, 1145, 1155, 1210, 1230, 1240, 1255, 1350, 1405, 1415, 1445, 1505, 1510, 1515, 1525, 1550, 1610, 1615, 1620, 1645, 1710, 1725, 1735, 1745, 1810, 1840, 1850, 1855, 1920, 1955, 2005, 2010, 2030	0620, 0635, 0650, 0715, 0725, 0740, 0800, 0825, 0835, 0850, 0910, 0930, 0950, 1010, 1025, 1045, 1055, 1110, 1120, 1135, 1155, 1205, 1220, 1230, 1245, 1305, 1315, 1330, 1405, 1425, 1430, 1440, 1450, 1515, 1535, 1540, 1545, 1600, 1625, 1650, 1655, 1700, 1720, 1745, 1810, 1815, 1820, 1845, 1915, 1925, 1935, 1955, 2030, 2040, 2045, 2105
44	MF15A UP	Jambusavari Dinne	ಜಂಬೂಸವಾರಿ ದಿಣ್ಣೆ	JP Nagara Metro	ಜೆ.ಪಿ. ನಗರ ಮೆಟ್ರೋ	Kottanur Dinne, Brigade Millennium, Puttenahalli cross, RV dental college	ಕೊತ್ತನೂರು ದಿಣ್ಣೆ, ಬ್ರಿಗೇಡ್ ಮಿಲೇನಿಯಂ, ಪುಟ್ಟೇನಹಳ್ಳಿ ಕ್ರಾಸ್, ಆರ್.ವಿ. ಡೆಂಟಲ್ ಕಾಲೇಜು	21	2	0610, 0640, 0720, 0750, 0915, 0950, 1050, 1125, 1215, 1235, 1320, 1350, 1430, 1500, 1600, 1635, 1730, 1805, 1920, 2005	
45	MF15A DOWN	JP Nagara Metro	ಜೆ.ಪಿ. ನಗರ ಮೆಟ್ರೋ	Jambusavari Dinne	ಜಂಬೂಸವಾರಿ ದಿಣ್ಣೆ	RV dental college, Puttenahalli cross, Brigade Millennium, Kottanur Dinne	ಆರ್.ವಿ. ಡೆಂಟಲ್ ಕಾಲೇಜು, ಪುಟ್ಟೇನಹಳ್ಳಿ ಕ್ರಾಸ್, ಬ್ರಿಗೇಡ್ ಮಿಲೇನಿಯಂ, ಕೊತ್ತನೂರು ದಿಣ್ಣೆ	21	2	0600, 0635, 0705, 0725, 0745, 0810, 0830, 0855, 0915, 0940, 1015, 1105, 1130, 1155, 1215, 1235, 1255, 1315, 1335, 1415, 1435, 1455, 1515, 1535, 1555, 1620, 1645, 1705, 1730, 1750, 1815, 1835, 1915, 1945, 2000, 2025	
46	MF16	Shanthinagar TTMC	ಶಾಂತಿನಗರ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Shanthinagar TTMC	ಶಾಂತಿನಗರ ಟಿ.ಟಿ.ಎಂ.ಸಿ.	Corporation, KR Market, Mysore Road Metro Station, Hosakerehalli Cross, Srinivasanagara, North Road, Lalbagh West Gate, Lalbagh Main Gate	ಕಾರ್ಪೋರೇಷನ್‌, ಕೆ.ಆರ್‌ ಮಾರುಕಟ್ಟೆ, ಮೈಸೂರು ರಸ್ತೆ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ, ಹೊಸಕೆರೆಹಳ್ಳಿ ಕ್ರಾಸ್‌,  ಶ್ರೀನಿವಾಸನಗರ, ನಾರ್ತ್ ರೋಡ್‌,‌ ಲಾಲ್‌ಬಾಗ್‌ ವೆಸ್ಟ್‌ ಗೇಟ್‌, ಲಾಲ್‌ಬಾಗ್‌ ಮೈನ್ ಗೇಟ್	10, 36, 30, 39	4	0550, 0655, 0750, 0830, 0910, 1000, 1030, 1200, 1500, 1545, 1635, 1730, 1820, 1900, 1950, 2030, 2200	
